"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 13 09:43:16 ICT 2025","Thu Nov 13 09:43:24 ICT 2025","7534","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","getDefaultValues_test","getDefaultValues_test","Check default_ checkbox Lead"
"broken","Thu Nov 13 09:41:11 ICT 2025","Thu Nov 13 09:41:19 ICT 2025","7825","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkRequired_RecordType_BusinessAccount","checkRequired_RecordType_BusinessAccount","Check required field(s)_ Record Type Business Account"
"broken","Thu Nov 13 09:43:06 ICT 2025","Thu Nov 13 09:43:14 ICT 2025","8196","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","getDefaultValues","getDefaultValues","Check default_ Record Type TNG Business Account"
"failed","Thu Nov 13 09:38:20 ICT 2025","Thu Nov 13 09:38:52 ICT 2025","31398","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkUI_TNGBusinessAccount","checkUI_TNGBusinessAccount","RecordType_TNG Business Account_Check labels theo từng section"
"failed","Thu Nov 13 09:41:32 ICT 2025","Thu Nov 13 09:42:28 ICT 2025","56336","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkReadOnly_RecordType_TNGBusinessAccount","checkReadOnly_RecordType_TNGBusinessAccount","Check readonly field(s) _ Record Type TNG Business Account"
"failed","Thu Nov 13 09:39:55 ICT 2025","Thu Nov 13 09:40:19 ICT 2025","23793","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkHistoryTracking","checkHistoryTracking","Check history tracking"
"passed","Thu Nov 13 09:40:53 ICT 2025","Thu Nov 13 09:41:00 ICT 2025","6981","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkPicklist_TNGBusinessAccount","checkPicklist_TNGBusinessAccount","Check picklist values record type TNG Business Account"
"failed","Thu Nov 13 09:39:27 ICT 2025","Thu Nov 13 09:39:53 ICT 2025","26250","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkDataTypeAndAPIName","checkDataTypeAndAPIName","Check DataType Custom Fields Only"
"failed","Thu Nov 13 09:41:02 ICT 2025","Thu Nov 13 09:41:09 ICT 2025","7280","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkDefaultValue_RecordType_BusinessAccount","checkDefaultValue_RecordType_BusinessAccount","Check required field(s)_ Record Type Business Account"
"broken","Thu Nov 13 09:41:21 ICT 2025","Thu Nov 13 09:41:30 ICT 2025","8397","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkRequired_RecordType_TNGBusinessAccount","checkRequired_RecordType_TNGBusinessAccount","Check required field(s)_ Record Type TNG Business Account"
"failed","Thu Nov 13 09:40:21 ICT 2025","Thu Nov 13 09:40:51 ICT 2025","30290","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkPicklist_BusinessAccount","checkPicklist_BusinessAccount","Check picklist values Record Type Business Account"
"failed","Thu Nov 13 09:42:30 ICT 2025","Thu Nov 13 09:43:04 ICT 2025","33829","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkReadOnly_RecordType_BusinessAccount","checkReadOnly_RecordType_BusinessAccount","Check readonly field(s) _ Record Type TNG Business Account"
"failed","Thu Nov 13 09:38:54 ICT 2025","Thu Nov 13 09:39:25 ICT 2025","30685","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkUI_BusinessAccount","checkUI_BusinessAccount","RecordType_Business Account_Check labels theo từng section"
