"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 13 14:31:48 ICT 2025","Thu Nov 13 14:31:55 ICT 2025","6874","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkPicklist_TNGBusinessAccount","checkPicklist_TNGBusinessAccount","Check picklist values record type TNG Business Account"
"failed","Thu Nov 13 14:33:24 ICT 2025","Thu Nov 13 14:33:57 ICT 2025","33428","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkReadOnly_RecordType_BusinessAccount","checkReadOnly_RecordType_BusinessAccount","Check readonly field(s) _ Record Type TNG Business Account"
"failed","Thu Nov 13 14:30:51 ICT 2025","Thu Nov 13 14:31:14 ICT 2025","22899","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkHistoryTracking","checkHistoryTracking","Check history tracking"
"failed","Thu Nov 13 14:31:57 ICT 2025","Thu Nov 13 14:32:04 ICT 2025","6976","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkDefaultValue_RecordType_BusinessAccount","checkDefaultValue_RecordType_BusinessAccount","Check required field(s)_ Record Type Business Account"
"failed","Thu Nov 13 14:32:06 ICT 2025","Thu Nov 13 14:32:30 ICT 2025","23971","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkRequired_RecordType_BusinessAccount","checkRequired_RecordType_BusinessAccount","Check required field(s)_ Record Type Business Account"
"failed","Thu Nov 13 14:30:24 ICT 2025","Thu Nov 13 14:30:49 ICT 2025","24237","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkDataTypeAndAPIName","checkDataTypeAndAPIName","Check DataType Custom Fields Only"
"broken","Thu Nov 13 14:33:59 ICT 2025","Thu Nov 13 14:34:06 ICT 2025","6840","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","getDefaultValues","getDefaultValues","Check default_ Record Type TNG Business Account"
"failed","Thu Nov 13 14:31:16 ICT 2025","Thu Nov 13 14:31:46 ICT 2025","30077","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkPicklist_BusinessAccount","checkPicklist_BusinessAccount","Check picklist values Record Type Business Account"
"failed","Thu Nov 13 14:29:52 ICT 2025","Thu Nov 13 14:30:22 ICT 2025","30173","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkUI_BusinessAccount","checkUI_BusinessAccount","RecordType_Business Account_Check labels theo từng section"
"failed","Thu Nov 13 14:32:51 ICT 2025","Thu Nov 13 14:33:22 ICT 2025","30628","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkReadOnly_RecordType_TNGBusinessAccount","checkReadOnly_RecordType_TNGBusinessAccount","Check readonly field(s) _ Record Type TNG Business Account"
"broken","Thu Nov 13 14:34:08 ICT 2025","Thu Nov 13 14:34:15 ICT 2025","6883","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","getDefaultValues_test","getDefaultValues_test","Check default_ checkbox Lead"
"failed","Thu Nov 13 14:29:19 ICT 2025","Thu Nov 13 14:29:50 ICT 2025","31111","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkUI_TNGBusinessAccount","checkUI_TNGBusinessAccount","RecordType_TNG Business Account_Check labels theo từng section"
"passed","Thu Nov 13 14:32:32 ICT 2025","Thu Nov 13 14:32:49 ICT 2025","17394","Test Suite","Salesforce","tests.SFAccount","tests.SFAccount","checkRequired_RecordType_TNGBusinessAccount","checkRequired_RecordType_TNGBusinessAccount","Check required field(s)_ Record Type TNG Business Account"
